frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{1,2,0,1},{1,2,1,1},{2,2,2,1},{0,1,1,0},{2,1,2,2},{0,1,1,0},{2,2,0,2},{1,2,0,1},{2,1,2,2},{2,2,0,2},{0,1,1,0},{1,2,1,1},{1,2,1,1},{2,2,0,2},{2,2,2,1},{1,2,1,1},{2,2,0,2},{1,2,0,1},{0,1,1,0},{0,1,1,0},{1,2,0,1}}|{7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-768,0,-208,0,-96,0,0,0,1}|3.2.190.7|{-48,-26,-24,0,1}
{{0,1,2,0},{0,1,2,2},{2,1,2,2},{1,2,1,1},{0,1,2,2},{0,1,2,0},{2,1,2,2},{1,1,2,0},{1,0,0,2},{2,1,2,2},{1,0,0,2},{1,0,0,2},{0,1,2,0},{2,1,2,2},{1,2,1,1},{1,1,2,0},{1,2,1,1},{0,1,2,0},{1,0,0,2},{1,0,0,2},{0,1,2,2},{1,0,0,2},{2,1,2,2},{1,1,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-65,83,47,-95,32,-7,5,-2,1}|3.2.191.3|{9,-8,-3,0,1}
{{1,2,1,1},{1,2,1,1},{1,2,1,0},{2,1,2,2},{1,2,1,0},{2,1,2,2},{1,2,2,2},{0,1,1,0},{2,1,2,2},{0,1,2,2},{1,2,2,2},{0,1,1,0},{0,1,2,2},{2,1,2,2},{2,1,2,2},{0,1,1,0},{1,0,0,1},{1,2,1,0},{0,1,1,0},{1,2,1,0},{1,2,2,2},{0,1,1,0},{2,1,2,2},{1,2,1,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{3,-15,18,-7,7,-7,7,-4,1}|3.2.191.8|{3,-15,3,-1,1}
{{2,2,2,0},{2,1,0,1},{0,2,1,0},{2,1,0,1},{0,2,1,0},{1,1,1,0},{0,2,1,0},{2,1,0,1},{2,1,0,1},{0,2,1,0},{1,2,0,1},{2,1,0,1},{1,2,0,1},{2,1,0,1},{1,1,1,0},{2,1,0,1},{1,2,0,1},{2,0,0,2},{2,2,2,0},{2,1,0,2},{0,2,1,0},{2,2,2,0},{1,1,1,0},{2,1,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-243,0,-54,107,-50,-7,7,-4,1}|3.2.193.7|{-27,-3,18,0,1}
{{2,0,2,1},{1,1,0,1},{1,2,2,0},{1,1,0,1},{2,0,2,1},{1,2,1,0},{1,2,2,0},{1,2,2,0},{1,2,1,0},{1,1,0,1},{2,0,2,1},{1,2,1,0},{1,2,2,0},{2,1,1,0},{2,0,2,1},{1,2,1,0},{1,1,1,2},{2,0,2,1},{1,1,1,2},{1,1,1,2},{1,2,2,0},{2,0,2,1},{1,1,0,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-338,269,-326,113,-53,-7,7,-4,1}|3.2.202.3|{-112,16,36,-1,1}
{{0,2,1,0},{1,2,1,1},{2,2,1,0},{0,2,1,0},{0,2,1,1},{2,1,2,2},{2,1,2,2},{2,1,2,2},{1,2,1,1},{2,2,1,0},{2,1,2,2},{2,2,1,0},{2,1,2,2},{1,0,0,2},{1,0,0,2},{2,2,1,0},{1,2,1,1},{1,2,1,1},{2,1,2,2},{1,2,1,1},{0,2,1,1},{1,0,0,2}}|{2,5,11,13,17,19,23,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-49,196,-316,262,-112,16,7,-4,1}|3.2.203.3|{3,9,0,-1,1}
{{2,0,1,1},{2,0,1,2},{2,2,2,0},{2,0,1,1},{2,0,1,2},{2,2,2,0},{1,1,1,0},{1,0,1,1},{2,0,1,2},{2,0,1,1},{2,0,1,2},{1,1,1,0},{1,1,1,0},{2,2,2,0},{2,0,1,2},{2,0,1,2},{1,1,1,0},{1,0,1,1},{2,0,1,2},{2,0,1,1},{2,0,1,1},{2,0,1,2}}|{5,7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-300,0,116,0,-60,0,0,0,1}|3.2.208.1|{-27,-12,18,0,1}
{{2,1,2,2},{1,0,0,2},{2,1,1,1},{1,0,0,2},{0,1,2,1},{1,0,0,2},{0,1,2,1},{2,1,2,2},{1,0,0,2},{0,1,2,1},{2,1,1,1},{1,2,1,1},{2,1,1,1},{1,0,0,2},{1,0,0,2},{2,1,2,2},{2,1,1,1},{2,1,2,0},{1,0,0,2},{2,1,1,1},{2,1,2,0},{1,0,0,2},{1,0,0,2},{2,1,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-27,0,63,0,18,0,0,0,1}|3.2.211.6|{-67,76,-24,-1,1}
{{1,2,1,1},{1,1,2,0},{1,2,1,1},{0,1,2,0},{1,0,0,2},{0,1,2,2},{1,2,1,1},{1,0,0,2},{1,1,2,0},{0,1,2,2},{1,2,1,1},{1,1,2,0},{2,1,2,2},{1,0,0,2},{2,1,2,2},{1,1,2,0},{1,1,2,0},{1,0,0,2},{0,1,2,2},{0,1,2,0},{2,1,2,2},{2,1,2,2},{0,1,2,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8667,7047,-1539,90,0,0,-5,-3,1}|3.2.214.2|{-74,104,24,-1,1}
{{1,2,1,1},{1,2,1,1},{2,1,2,2},{2,1,0,2},{2,1,2,2},{1,1,0,1},{1,0,0,2},{1,0,0,2},{1,1,1,2},{2,1,2,2},{1,1,0,1},{1,2,1,1},{1,2,1,1},{1,0,0,2},{1,1,1,2},{1,1,0,1},{1,2,1,1},{1,1,0,1},{1,1,1,2},{2,1,2,2},{2,1,2,2},{1,1,0,1}}|{2,5,11,13,17,19,23,29,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-301,-119,56,125,-59,-7,7,-4,1}|3.2.217.8|{-27,-15,18,0,1}
{{1,2,1,0},{2,1,2,2},{1,2,1,0},{1,2,1,1},{1,0,0,2},{1,2,2,2},{1,2,1,0},{1,2,1,1},{1,2,2,2},{1,2,1,0},{1,2,2,2},{1,0,2,1},{1,2,2,2},{1,2,1,0},{1,2,1,0},{1,0,0,2},{1,0,0,2},{1,2,1,1},{1,0,0,2},{1,2,2,2},{1,0,0,2},{1,2,1,0},{1,0,2,1},{1,2,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-48,12,-251,33,9,-10,0,-3,1}|3.2.223.8|{-3,-6,-3,-1,1}
{{2,2,1,2},{0,1,2,0},{1,1,2,1},{2,2,0,2},{0,1,1,0},{1,2,0,1},{2,2,1,2},{1,1,2,1},{0,1,2,0},{2,2,0,2},{0,1,1,0},{2,2,0,2},{2,2,1,2},{1,1,2,1},{2,2,1,2},{1,2,0,1},{0,1,2,0},{0,1,1,0},{0,1,2,0},{0,1,2,0},{0,1,1,0},{0,1,1,0},{0,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-7346,4541,-4814,545,-269,-7,7,-4,1}|3.2.226.1|{-38,-148,-30,-1,1}
{{2,1,1,0},{1,2,1,0},{1,2,2,0},{1,2,1,0},{1,0,1,2},{0,2,1,0},{1,0,1,2},{2,1,1,0},{0,2,1,0},{0,2,1,2},{1,0,1,2},{0,2,1,2},{1,2,2,0},{1,2,2,0},{1,0,1,2},{0,2,1,2},{1,2,1,0},{1,2,2,0},{1,2,1,0},{0,2,1,2},{1,0,1,2},{1,0,1,2},{1,2,1,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-192,336,-372,71,-32,-7,7,-4,1}|3.2.226.7|{-12,-190,12,0,1}
{{1,2,2,0},{1,2,1,0},{2,1,1,0},{1,2,1,0},{1,0,1,2},{0,2,1,0},{1,0,1,2},{1,2,2,0},{0,2,1,0},{0,2,1,2},{1,0,1,2},{0,2,1,2},{2,1,1,0},{2,1,1,0},{1,0,1,2},{0,2,1,2},{1,2,1,0},{2,1,1,0},{1,2,1,0},{0,2,1,2},{1,0,1,2},{1,0,1,2},{1,2,1,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-192,336,-372,71,-32,-7,7,-4,1}|3.2.226.8|{-12,-190,12,0,1}
{{1,1,0,1},{1,1,1,2},{0,1,1,1},{1,1,0,1},{1,1,0,1},{0,2,2,2},{1,1,1,2},{2,1,0,2},{2,1,0,2},{0,2,2,2},{0,2,2,2},{0,2,2,2},{1,1,0,1},{1,0,1,2},{2,0,0,2},{1,1,0,1},{0,2,2,2},{2,1,0,2},{0,1,1,1},{0,1,1,1},{0,2,2,2},{1,1,0,1},{2,1,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-32,98,-65,-76,55,2,1,-4,1}|3.2.226.9|{-2,-4,0,-1,1}
{{1,1,0,1},{1,1,1,2},{0,2,2,2},{1,1,0,1},{1,1,0,1},{0,1,1,1},{1,1,1,2},{2,1,0,2},{2,1,0,2},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,1,0,1},{1,0,1,2},{2,0,0,2},{1,1,0,1},{0,1,1,1},{2,1,0,2},{0,2,2,2},{0,2,2,2},{0,1,1,1},{1,1,0,1},{2,1,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-32,98,-65,-76,55,2,1,-4,1}|3.2.226.10|{-2,-4,0,-1,1}
{{2,0,1,2},{1,1,1,2},{2,1,2,2},{1,0,1,1},{2,0,1,2},{2,1,2,2},{1,1,1,2},{1,0,1,1},{2,0,1,2},{2,1,2,2},{1,2,1,1},{2,1,2,2},{2,0,1,2},{2,0,0,1},{1,0,0,1},{1,0,1,1},{2,1,2,2},{1,0,1,1},{1,2,1,1},{1,2,1,1},{1,2,1,1},{2,0,1,2},{2,0,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{4,29,-2,23,7,-7,7,-4,1}|3.2.226.11|{-2,-4,0,-1,1}
{{2,0,1,2},{1,1,1,2},{1,2,1,1},{1,0,1,1},{2,0,1,2},{1,2,1,1},{1,1,1,2},{1,0,1,1},{2,0,1,2},{1,2,1,1},{2,1,2,2},{1,2,1,1},{2,0,1,2},{2,0,0,1},{1,0,0,1},{1,0,1,1},{1,2,1,1},{1,0,1,1},{2,1,2,2},{2,1,2,2},{2,1,2,2},{2,0,1,2},{2,0,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{4,29,-2,23,7,-7,7,-4,1}|3.2.226.12|{-2,-4,0,-1,1}
{{2,0,2,1},{2,0,2,1},{1,1,2,0},{0,1,1,1},{1,1,1,2},{2,0,2,1},{1,1,2,0},{0,1,1,1},{0,2,2,2},{1,1,1,2},{0,1,2,2},{0,1,1,1},{0,1,2,2},{2,0,2,1},{2,0,2,1},{2,0,2,1},{0,1,2,2},{0,1,2,2},{0,2,2,2},{1,1,1,2},{0,1,2,2},{2,0,2,1},{0,1,1,1},{0,1,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2352,0,1752,0,405,0,34,0,1}|3.2.227.2|{-136,112,-36,-1,1}
{{1,0,0,2},{1,2,1,1},{0,2,1,1},{1,2,1,1},{2,0,0,2},{1,2,1,1},{0,2,1,1},{1,0,0,2},{1,2,1,1},{0,2,1,0},{2,2,1,0},{1,0,0,2},{0,2,1,1},{1,2,1,1},{1,0,0,2},{1,0,0,2},{2,2,1,0},{0,2,1,1},{1,2,1,1},{0,2,1,0},{2,2,1,0},{2,1,2,2},{1,0,0,2},{0,2,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,351,0,108,0,0,0,1}|3.2.227.3|{-12,-13,12,0,1}
{{1,0,0,2},{2,1,2,2},{0,2,1,1},{2,1,2,2},{2,0,0,2},{2,1,2,2},{0,2,1,1},{1,0,0,2},{2,1,2,2},{0,2,1,0},{2,2,1,0},{1,0,0,2},{0,2,1,1},{2,1,2,2},{1,0,0,2},{1,0,0,2},{2,2,1,0},{0,2,1,1},{2,1,2,2},{0,2,1,0},{2,2,1,0},{1,2,1,1},{1,0,0,2},{0,2,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,351,0,108,0,0,0,1}|3.2.227.4|{-12,-13,12,0,1}
{{2,0,1,1},{2,2,2,0},{2,1,0,2},{2,0,1,1},{2,1,1,1},{1,1,1,0},{1,1,0,1},{1,1,1,0},{2,0,1,1},{2,1,1,1},{2,1,0,2},{2,2,2,0},{1,1,0,1},{1,1,1,0},{2,0,1,1},{2,0,1,1},{2,1,0,2},{2,1,0,2},{2,0,1,1},{1,0,0,1},{2,1,0,2},{2,2,2,0},{1,1,1,0},{2,1,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-198,239,-254,27,-5,-13,9,-4,1}|3.2.227.5|{24,-204,-18,-1,1}
{{1,2,2,0},{2,1,1,0},{2,0,2,2},{1,1,0,2},{1,2,2,2},{1,1,0,2},{1,2,0,1},{1,1,0,2},{1,2,2,0},{2,0,0,2},{1,2,2,2},{2,1,1,0},{2,0,2,2},{2,1,1,0},{1,1,0,2},{2,1,1,0},{1,2,2,2},{2,0,2,2},{1,2,2,0},{2,0,2,2},{1,2,0,1},{2,1,1,0},{1,2,2,0},{2,0,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-9,-12,0,23,-8,-7,7,-4,1}|3.2.233.2|{-3,-13,6,0,1}
{{1,1,2,0},{0,1,2,2},{1,2,2,0},{0,1,2,2},{2,1,1,0},{0,1,2,2},{2,1,1,0},{1,2,2,0},{0,1,2,2},{0,1,2,2},{1,2,2,0},{2,1,1,0},{2,0,2,1},{1,2,2,0},{2,0,2,1},{2,0,2,1},{1,1,2,0},{0,1,2,2},{1,2,2,2},{2,0,2,1},{2,0,2,1},{1,1,2,0},{2,0,2,1},{2,0,2,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5,-13,10,8,-8,2,4,-4,1}|3.2.239.4|{-2,-3,-1,0,1}
{{2,0,2,1},{2,0,2,1},{0,1,2,1},{1,2,2,0},{0,1,2,0},{2,1,1,0},{2,0,0,2},{2,0,2,1},{2,0,2,1},{0,2,1,2},{0,2,1,2},{1,2,2,0},{0,1,2,0},{1,2,2,0},{2,0,2,1},{2,1,1,0},{0,1,2,0},{0,1,2,0},{2,1,1,0},{0,1,2,0},{0,1,2,0},{2,1,1,0},{1,2,2,0},{0,1,2,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-450,311,-362,99,-41,-13,9,-4,1}|3.2.241.5|{-192,-204,-54,-1,1}
{{1,2,1,1},{2,1,2,0},{2,1,2,0},{1,2,1,1},{2,1,1,1},{1,0,0,2},{1,2,1,1},{0,1,2,1},{0,1,2,1},{2,1,2,2},{2,1,2,0},{2,1,2,2},{2,1,2,2},{1,0,0,2},{2,1,2,0},{2,1,1,1},{1,2,1,1},{2,1,1,1},{2,1,2,0},{1,2,1,1},{2,1,2,2},{0,1,2,1}}|{5,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{9,105,84,-45,72,45,-6,-1,1}|3.2.242.8|{48,-21,-9,-1,1}
{{1,2,1,1},{1,0,0,2},{0,2,1,0},{1,2,1,1},{2,2,1,0},{2,1,2,2},{1,2,1,1},{2,2,1,0},{2,0,0,2},{1,0,0,2},{0,2,1,1},{1,2,1,1},{1,2,1,1},{2,1,2,2},{2,2,1,0},{0,2,1,1},{1,0,0,2},{2,2,1,0},{2,2,1,0},{1,2,1,1},{1,0,0,2},{0,2,1,0}}|{2,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-315,-441,-126,147,105,-42,4,-4,1}|3.2.245.2|{-3,-13,-6,0,1}
{{2,2,1,2},{1,1,2,1},{0,1,2,0},{2,2,0,2},{2,2,1,2},{2,1,2,0},{1,1,2,1},{0,1,2,0},{2,1,2,0},{1,0,0,2},{0,1,2,0},{1,0,0,2},{2,2,1,2},{2,2,1,2},{0,1,2,0},{2,1,2,0},{1,1,2,1},{0,1,2,0},{2,1,2,0},{1,1,2,1},{1,1,2,1},{2,1,2,0}}|{2,5,7,13,17,19,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-243,0,147,0,-54,0,0,0,1}|3.2.253.3|{33,-132,0,-1,1}
{{0,2,2,2},{2,1,1,1},{0,1,1,1},{2,1,2,0},{1,0,1,2},{2,1,1,1},{1,0,1,2},{1,0,1,2},{2,1,1,1},{2,1,2,0},{0,1,1,1},{0,1,2,1},{1,0,1,2},{1,0,1,2},{0,1,1,1},{2,1,1,1},{0,1,2,1},{1,0,1,2},{2,1,1,1},{2,0,0,2},{1,0,1,2},{1,0,1,2},{2,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4107,0,-1880,0,-222,0,0,0,1}|3.2.254.3|{-32,53,15,-1,1}
{{1,1,1,0},{1,1,0,1},{1,0,2,2},{2,1,0,2},{2,2,2,0},{1,1,0,1},{1,1,1,0},{1,0,2,2},{1,1,0,1},{1,1,0,1},{2,2,2,0},{1,1,0,1},{1,0,2,2},{1,0,2,2},{2,2,2,0},{1,1,1,2},{1,1,1,2},{1,0,2,2},{1,1,1,2},{2,1,0,2},{1,1,1,0},{2,2,2,0},{2,1,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-108,0,-96,0,-36,0,0,0,1}|3.2.256.1|{7,-2,-3,-2,1}
{{1,0,0,2},{1,2,0,1},{2,1,2,2},{1,2,0,1},{1,2,1,1},{0,1,2,1},{1,2,1,1},{2,1,2,2},{1,2,0,1},{0,1,2,1},{1,0,0,2},{1,2,0,1},{1,2,1,1},{2,1,2,2},{1,0,0,2},{2,2,2,1},{2,2,2,1},{2,1,2,2},{2,2,2,1},{1,2,0,1},{1,2,1,1},{1,0,0,2},{0,1,2,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-48,0,-96,0,0,0,8,0,1}|3.2.256.5|{6,-4,-6,0,1}
{{2,1,2,2},{2,2,0,2},{0,2,2,0},{1,0,2,1},{2,1,2,2},{1,0,2,1},{2,1,2,2},{0,2,2,0},{2,2,0,2},{2,2,0,2},{2,1,2,2},{1,0,2,1},{0,2,2,0},{0,2,2,0},{2,1,2,2},{2,2,2,1},{2,2,2,1},{0,2,2,0},{2,2,2,1},{1,0,2,1},{1,2,1,1},{2,1,2,2},{2,2,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,0,-24,0,-18,0,-4,0,1}|3.2.256.20|{7,-2,-3,-2,1}
{{2,1,2,0},{0,2,2,2},{0,2,2,2},{0,2,1,1},{2,1,2,0},{0,1,1,1},{0,1,1,1},{0,2,1,1},{2,2,0,1},{0,2,1,1},{2,2,2,1},{0,1,1,1},{2,2,0,1},{2,2,2,1},{2,2,0,1},{0,2,1,1},{0,1,1,1},{0,1,1,1},{0,2,1,1},{0,1,1,1},{2,2,0,1},{2,1,2,0},{2,2,2,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4,0,-16,0,24,0,-8,0,1}|3.2.256.26|{-1,2,3,-2,1}
{{1,2,1,1},{0,2,1,2},{1,2,1,1},{2,1,0,2},{2,0,0,1},{0,2,1,0},{1,2,1,1},{2,1,2,2},{2,1,0,2},{2,1,0,2},{2,0,0,1},{0,2,1,2},{2,0,0,1},{2,0,0,1},{1,2,1,1},{0,2,1,2},{0,2,1,2},{2,0,0,1},{0,2,1,0},{0,2,1,2},{2,0,0,1},{2,1,2,2},{0,2,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-10832,-1360,-1724,-176,-76,-35,7,-1,1}|3.2.262.2|{-64,13,27,-1,1}
{{1,0,1,2},{0,1,2,0},{0,2,2,2},{0,1,2,0},{0,1,1,1},{0,1,2,2},{0,2,2,2},{0,2,2,2},{0,1,2,0},{0,1,2,0},{0,2,2,2},{0,1,2,2},{1,0,1,2},{1,0,1,2},{0,2,2,2},{1,1,2,0},{0,1,2,2},{0,2,2,2},{0,1,2,0},{0,1,2,0},{1,0,1,2},{1,0,1,2},{0,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-675,0,444,0,-90,0,0,0,1}|3.2.262.7|{-18,-36,18,-1,1}
{{1,0,2,1},{1,2,1,1},{0,2,2,0},{2,2,2,1},{2,2,0,2},{2,2,2,1},{1,2,1,1},{1,0,2,1},{2,1,2,2},{2,2,2,1},{2,2,0,2},{2,1,2,2},{1,0,2,1},{0,2,2,0},{2,1,2,2},{2,1,2,2},{2,2,2,1},{2,1,2,2},{0,2,2,0},{2,1,2,2},{0,2,2,0},{2,2,0,2},{2,2,2,1},{1,2,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-474,345,-222,78,12,-12,16,-2,1}|3.2.263.4|{-4,-1,3,-2,1}
{{2,2,1,2},{2,2,1,0},{0,1,1,0},{2,0,2,2},{2,0,2,2},{1,1,2,1},{0,1,1,0},{2,2,1,0},{2,0,2,2},{0,1,1,0},{2,2,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{2,2,1,0},{2,2,1,0},{2,2,1,2},{2,2,2,1},{2,2,2,1},{2,2,1,2},{2,2,1,2},{2,2,1,0}}|{5,7,11,13,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,-6,0,-9,0,6,0,1}|3.2.272.20|{1,-4,0,-1,1}
{{1,0,1,2},{0,1,2,1},{2,1,1,0},{0,1,2,1},{2,1,1,0},{0,1,2,1},{1,2,2,0},{2,1,1,0},{0,1,2,1},{2,1,2,0},{1,0,1,2},{0,1,2,1},{1,2,2,0},{1,0,1,2},{1,2,2,0},{0,1,2,1},{0,1,2,1},{1,0,1,2},{2,1,2,0},{0,1,2,0},{1,0,1,2},{2,1,1,0},{2,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-738,-315,216,197,-95,-7,7,-4,1}|3.2.274.5|{10,-52,6,-1,1}
{{1,1,2,0},{1,2,2,2},{1,2,2,2},{1,2,2,2},{1,0,0,2},{1,2,1,1},{2,1,2,2},{0,2,1,2},{0,2,1,2},{0,2,1,2},{0,2,1,2},{1,2,1,1},{0,2,1,2},{2,1,2,2},{1,0,0,2},{1,2,1,1},{1,2,2,2},{1,1,2,0},{2,1,2,2},{1,1,2,0},{1,2,2,2},{1,1,2,0},{2,1,2,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1182,1551,-827,351,-135,25,3,-3,1}|3.2.278.4|{-4,7,-9,-1,1}
{{2,0,1,1},{1,2,1,0},{2,0,1,1},{1,2,1,0},{2,2,2,0},{0,1,2,2},{1,1,1,0},{1,1,1,0},{0,1,2,2},{1,2,1,0},{2,0,1,1},{1,2,1,0},{1,1,1,0},{2,0,1,1},{2,0,1,1},{0,1,2,2},{0,1,2,2},{1,1,1,0},{1,2,1,0},{0,1,2,2},{2,0,1,1},{2,2,2,0},{1,1,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-192,0,-272,0,48,0,0,0,1}|3.2.278.10|{-12,-34,12,0,1}
{{0,1,1,2},{1,2,2,2},{0,2,2,1},{1,2,1,0},{0,2,2,1},{1,2,0,2},{2,0,0,2},{1,2,1,0},{0,2,2,1},{1,2,2,2},{1,2,0,2},{0,1,1,2},{0,1,1,2},{1,2,2,2},{1,0,0,1},{0,1,1,2},{1,2,2,2},{2,1,2,0},{0,1,1,2},{1,2,0,2},{1,2,2,2}}|{11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-192,0,0,0,-48,0,-4,0,1}|3.2.280.12|{-12,0,-12,-2,1}
{{1,2,2,0},{2,1,1,0},{0,1,2,2},{2,0,1,2},{2,0,1,2},{1,0,1,2},{1,2,2,0},{0,1,2,2},{0,1,2,2},{1,2,2,0},{1,0,1,2},{2,0,1,2},{1,2,2,0},{2,1,1,0},{1,0,1,2},{2,0,1,2},{2,0,1,2},{1,0,1,2},{1,1,1,2},{1,1,1,2},{1,0,1,2},{2,0,0,2},{0,1,2,2},{2,0,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,-3,2,-1,8,-8,4,-3,1}|3.2.283.6|{-1,-1,0,0,1}
{{2,1,2,2},{2,0,0,1},{0,2,1,2},{1,2,1,1},{0,2,1,2},{1,2,1,0},{2,1,2,2},{2,0,0,1},{1,2,1,0},{1,2,1,0},{1,2,1,1},{1,2,1,0},{1,2,1,1},{2,0,0,1},{2,0,0,1},{2,0,0,2},{0,2,1,0},{2,0,0,1},{0,2,1,0},{0,2,1,2},{2,0,0,1},{2,1,2,2},{0,2,1,2}}|{2,5,7,11,13,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1169,1040,-518,54,-51,9,13,-4,1}|3.2.289.4|{-13,-2,0,-1,1}
{{1,1,1,2},{0,2,1,2},{1,1,0,2},{1,1,1,2},{2,1,1,0},{1,2,2,0},{2,1,1,0},{2,1,1,0},{1,1,0,2},{2,0,0,2},{1,1,2,0},{1,1,2,0},{1,1,0,2},{0,2,1,2},{0,2,1,2},{1,2,2,0},{1,1,2,0},{1,1,0,2},{0,2,1,2},{1,1,2,0},{1,1,2,0},{1,2,2,0}}|{2,5,7,11,17,19,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1875,1440,-1466,954,177,2,3,-3,1}|3.2.299.4|{-180,72,-9,-1,1}
{{2,1,0,2},{0,1,1,1},{0,2,2,2},{0,2,2,2},{0,2,1,0},{1,1,0,1},{0,2,2,2},{0,2,1,0},{1,1,0,2},{0,1,1,1},{2,1,0,2},{2,1,0,2},{1,1,0,2},{2,1,0,2},{2,1,0,2},{2,1,0,2},{1,1,0,1},{2,1,0,2},{0,2,1,0},{1,1,0,1},{0,1,1,1},{0,1,1,1}}|{2,5,11,13,17,19,23,29,31,37,41,47,53,59,61,67,71,73,79,83,89,97}|{124,-282,103,-149,60,-32,7,-3,1}|3.2.301.12|{6,-11,3,0,1}
